country;region;subregion;surfareasqkm;poptotal;popdens;popgrowthpct;gdp;gdpgrowthpct;adolfertrate;agrivaladdpctgdp;exportspctgdp;fertrate;fdinetbop;gni_per_capatlas;gniatlas;importspctgdp;indvaladdpctgdp;inflconspricpct;lifeexpbirth;merchtradepctgdp;mobilesubs_per_100;mortrateu5;netmigr;urbanpopgrowthpct;
Austria;Europe;Western Europe;83879.0;8955797.0;108.528.805.138.148;0.435671684056384;480.368.403.893.364;455.685.091.308.877;5.521;12.121.891.227.663;559.003.086.234.408;1.48;123.266.013.708.518;52760.0;472.474.254.120.689;553.219.834.500.504;258.339.686.302.555;194.340.746.030.799;812.390.243.902.439;879.171.062.411.821;1.219.694.798;3.7;20314.0;0.85522683458329;
Aruba;Americas;Latin America and the Caribbean;180.0;106537.0;591.872.222.222.222;-0.0450446230906329;312.601.938.547.486;17.172.508.597.974;14.154;0.6904159350320975;689.129.322.140.941;1.18;133.545.121.178.455;29460.0;313.871.180.041.366;682.514.076.704.221;1.652.266.001.529.400;22.160.166.077.412;74.626;378.436.552.727.998;1.323.496.283;2.885.706.735.855.990;501.0;0.342950565482248;
Armenia;Asia;Western Asia;29740.0;2790974.0;980.321.039.690.903;-0.522963242641951;13.861.409.968.835;569.999.999.864.019;18.511;113.374.774.674.789;353.359.795.359.061;1.575;366.445.214.820.501;4850.0;135.333.169.764.074;438.307.838.542.739;266.414.047.046.651;686.674.073.634.327;72.043;604.556.103.516.237;128.961.359;10.7;-12825.0;-0.336768058503091;
Argentina;Americas;Latin America and the Caribbean;2780400.0;45808747.0;167.387.416.916.056;0.947490959333989;487.227.125.385.641;103.982.494.646.904;39.065;713.154.104.672.929;180.342.289.894.963;1.885;690.284.020.774.343;9960.0;456.139.454.397.529;149.452.529.001.736;235.794.730.059.849;541.524.119.419.346;75.39;28.963.904.644.739;1.304.550.081;6.9;2344.0;107.551.503.856.124;
Antigua and Barbuda;Americas;Latin America and the Caribbean;440.0;93219.0;211.861.363.636.364;0.597151594527623;156.051.851.851.852;655.489.981.833.459;33.11;198.462.049.651.113;6.120.738.447.290.900;1.58;244.580.656.306.513;16060.0;14.971.180.117.839;8.036.976.789.407.370;202.613.091.565.007;340.117.707.434.749;78.497;394.099.776.902.264;1.973.825.359;6.1;0.0;0.37912230210342;
Angola;Africa;Sub-Saharan Africa;1246700.0;34503774.0;276.760.840.619.235;316.602.986.153.025;656.854.351.004.986;119.921.052.145.153;138.402;114.859.051.380.531;454.343.204.688.312;5.304;-435.511.655.271.589;1650.0;568.637.667.189.677;166.212.000.847.014;475.225.880.809.871;388.290.427.555.606;61.643;698.039.069.541.795;4.442.373.173;69.4;29089.0;411.178.584.659.054;
Andorra;Europe;Southern Europe;470.0;79034.0;168.157.446.808.511;170.228.822.534.561;332.514.540.677.109;828.719.978.108.489;5.887;0.533617929562433;6.116.303.885.469.140;22.274.254.419.273.200;5.369.652.420.639.960;27.547.842.617.764.600;34.037.349.650.978.900;8.004.990.346.290.950;123.657.061.543.935;255.955.652.556.359;7.322.297.501.943.510;56.463.135.653.612;1.186.729.762;2.8;1377.0;163.634.603.123.151;
Algeria;Africa;Northern Africa;2381741.0;44177969.0;185.486.033.116.111;165.770.320.084.269;163472233245.77;340.000.000.034.198;11.714;121.757.403.755.089;267.343.873.559.712;2.889;869.151.161.725.393;3680.0;162.524.303.385.663;264.608.648.386.532;389.425.440.978.279;15.567.230.644.726;76.377;465.045.338.223.928;1.064.235.366;22.3;-18797.0;237.124.967.540.079;
Albania;Europe;Southern Europe;28750.0;2811666.0;102.615.547.445.255;-0.926918061639398;179.305.651.188.176;890.852.781.831.182;14.517;183.581.252.459.328;313.091.607.591.559;1.39;121.858.645.237.158;6100.0;171.455.852.386.517;447.088.213.484.193;207.469.849.089.846;345.443.198.973.012;76.463;62.892.607.819.511;9.231.992.041;9.5;-10612.0;0.443404480033808;
Afghanistan;Asia;Southern Asia;652860.0;40099462.0;614.805.544.056.544;285.135.765.449.931;145.831.352.365.744;-206.999.999.939.715;82.565;334.844.989.786.092;48.234.673.908.845.600;4.643;20600976.1;390.0;156.235.617.111.099;6.873.201.514.929.620;15.589.007.985.948;0.477428929904875;61.982;451.548.990.883.995;5.655.443.457;55.7;-183672.0;395.185.728.902.399;
Australia;Oceania;Australia and New Zealand;7741220.0;25688079.0;333.957.517.011.136;0.127728295728263;1552703151616.01;223.621.243.944.461;8.096;230.660.266.032.948;220.751.685.117.277;1.7;248.347.772.766.016;57170.0;1468514493651.68;177.948.768.973.942;255.235.123.309.295;280.089.983.637.042;83.3;390.305.770.532.676;1.045.172.138;3.7;117929.0;0.267934456197247;
Bhutan;Asia;Southern Asia;38390.0;777486.0;203.850.550.603.041;0.642586172837449;253.955.132.748.291;408.761.887.839.313;18.977;191.916.698.038.805;318.253.972.607.423;1.413;678.311.248.768.633;3040.0;236.485.659.953.218;527.362.034.441.948;341.984.782.990.633;470.327.350.767.793;71.815;789.115.769.511.251;1.000.671.395;26.7;291.0;226.451.020.895.601;
Bolivia;Americas;Latin America and the Caribbean;1098580.0;12079472.0;111.506.249.423.059;119.348.671.867.883;404.082.085.238.784;610.580.420.443.311;63.792;12.922.252.719.533;278.239.020.190.138;2.618;583.576.424.725.665;3290.0;397.857.263.012.761;31.194.431.852.783;263.609.324.060.018;396.697.033.286.644;63.63;509.525.186.889.524;9.962.307.127;24.7;-4666.0;169.420.595.110.603;
